,name_of_loc,ratings_of_loc,address_of_loc,number_of_reviews,type_loc,price_level
1,Nike Factory Store - Primm,4.4,Nevada,-82,Clothing store,$$$
2,Nike Factory Store - Chesterfield,,Missouri,,,
3,Hurley Factory Store - Miromar Outlets,,Florida ,,,
4,Nike Factory Store - Altoona,,Iowa,,,
5,Nike Factory Store - Freeport,,Maine,,,
6,Nike by Melrose,,California ,,,
7,Nike Factory Store - Tampa,,Florida ,,,
8,Nike Factory Store - Charlottesville,,Virginia,,,
9,Nike Factory Store - Aurora,,Illinois,,,
10,Nike Factory Store - Clinton,,Connecticut,,,
11,Nike Factory Store - Birch Run,,Michigan,,,
12,Nike Factory Store - Vacaville,,California ,,,
13,Nike Factory Store - Santa Clarita,,California ,,,
14,Nike Factory Store - Leesburg,,Virginia,,,
15,Nike Factory Store - Lehi,,Utah,,,
16,Nike Factory Store - Charlotte,,North Carolina,,,
17,Nike Factory Store - Jersey Gardens,,New Jersey,,,
18,Nike Factory Store - Bossier City,,Louisiana,,,
19,Nike Factory Store - Fort Worth,,Texas ,,,
20,Nike Community Store - Portland,,Oregon,,,
21,Nike Factory Store - Edinburgh,,Indiana,,,
22,Nike Factory Store - Texas City,,Texas ,,,
23,Nike Clearance Store - Memphis,,Tennessee,,,
24,Nike Factory Store - Calexico,,California ,,,
25,Nike Factory Store - Leeds,,Alabama,,,
26,Nike Factory Store - Livermore,,California ,,,
27,Nike Factory Store - Orlando International,,Florida ,,,
28,Nike Factory Store - Lake Buena Vista,,Florida ,,,
29,Nike Factory Store - Pottstown,,Pennsylvania,,,
30,Nike Clearance Store - Pasadena,,Texas ,,,
31,Nike Factory Store - Foley,,Alabama,,,
32,Nike Factory Store - Silverthorne,,Colorado,,,
33,Nike Factory Store - Kansas City,,Kansas,,,
34,Nike Factory Store - San Jose,,California ,,,
35,Nike Factory Store - Petaluma,,California ,,,
36,Nike Factory Store - Grapevine,,Texas ,,,
37,Nike Factory Store - Redlands,,California ,,,
38,Nike Factory Store - Little Rock East,,Arkansas,,,
39,Nike Factory Store - Pearl,,Mississippi,,,
40,Hurley Factory Store - Vacaville Premium Outlets,,California ,,,
41,Nike Factory Store - Meridian,,Idaho,,,
42,Nike Factory Store - Torrance,,California ,,,
43,Nike Clearance Store - Lebanon,,Tennessee,,,
44,Nike Factory Store - Woodbury,,New York ,,,
45,Nike Factory Store - Glendale,,Arizona,,,
46,Nike Clearance Store - Alpine,,California ,,,
47,Nike South Coast Plaza,,California ,,,
48,Nike Factory Store - Tinton Falls,,New Jersey,,,
49,Nike Community Store - Detroit,,Michigan,,,
50,Nike Factory Store - Newark,,New Jersey,,,
51,Nike Factory Store - Carlsbad,,California ,,,
52,Nike Mall Of America,,Minnesota,,,
53,Nike Factory Store - Asheville,,North Carolina,,,
54,Nike Factory Store - Wrentham,,Massachusetts,,,
55,Nike Factory Store - San Juan,,PR,,,
56,Nike Factory Store - Park City,,Utah,,,
57,Nike Factory Store - Louisville,,Kentucky,,,
58,Nike Factory Store - Thornton,,Colorado,,,
59,Nike Factory Store - Lake Elsinore,,California ,,,
60,Nike Factory Store - Deer Park,,New York ,,,
61,Nike Factory Store - Cabazon,,California ,,,
62,Nike Factory Store - Lancaster,,Pennsylvania,,,
63,Nike Factory Store - Jeffersonville,,Ohio,,,
64,Nike Lynnfield,,Massachusetts,,,
65,Nike Flatiron,,New York ,,,
66,Nike Pasadena,,California ,,,
67,Nike Factory Store - Aurora Farms,,Ohio,,,
68,Nike Community Store - East LA,,California ,,,
69,Nike Upper East Side,,New York ,,,
70,Nike Factory Store - Auburn Hills,,Michigan,,,
71,NikeLab 21M NYC,,New York ,,,
72,Nike Factory Store - Niagara Falls,,New York ,,,
73,Nike Clearance Store - Johnson Creek,,Wisconsin,,,
74,Nike Factory Store - Corpus Christi,,Texas ,,,
75,Nike Clearance Store - Burlington,,Washington,,,
76,Nike Factory Store - Milpitas,,California ,,,
77,Nike Factory Store - San Clemente,,California ,,,
78,Hurley Factory Store - Sawgrass Mills,,Florida ,,,
79,Nike Factory Store - Ontario,,California ,,,
80,Nike Factory Store - Round Rock,,Texas ,,,
81,Nike Factory Store - Des Moines,,Iowa,,,
82,Hurley Factory Store - Ellenton Premium Outlets,,Florida ,,,
83,Nike Factory Store - Simpsonville,,Kentucky,,,
84,Nike Clearance Store - Orlando Marketplace,,Florida ,,,
85,Nike Factory Store - Little Rock,,Arkansas,,,
86,Hurley Factory Store - Tanger Outlet Center- Houston,,Texas ,,,
87,Nike Factory Store - Gilroy,,California ,,,
88,Nike Factory Store - Lincoln City,,Oregon,,,
89,Nike Factory Store - Charleston,,South Carolina,,,
90,Nike Factory Store - Oshkosh,,Wisconsin,,,
91,Nike Factory Store - North Bend,,Washington,,,
92,Nike Portland Airport,,Oregon,,,
93,Nike Factory Store - Orlando Vineland,,Florida ,,,
94,Nike Factory Store - Myrtle Beach,,South Carolina,,,
95,Hurley Lahaina,,Hawaii,,,
96,Nike Factory Store - Lubbock,,Texas ,,,
97,Nike Factory Store - Lake St. Louis,,Missouri,,,
98,Nike Factory Store - Finger Lakes,,New York ,,,
99,Hurley Factory Store - Dolphin Mall,,Florida ,,,
100,Nike Factory Store - Clarksburg,,Maryland,,,
101,Nike Atlanta,,Georgia,,,
102,Hurley Factory Store - Ontario Mills,,California ,,,
103,Nike Factory Store - Savannah,,Georgia,,,
104,Nike Factory Store - Brentwood,,Tennessee,,,
105,Nike Factory Store - Dawsonville,,Georgia,,,
106,Nike Factory Store - Commerce,,Georgia,,,
107,Hurley Factory Store - Las Vegas Premium Outlets South,,Nevada,,,
108,Nike Community Store - Ivy City,,DC,,,
109,Nike Factory Store - Reno,,Nevada,,,
110,Nike Factory Store - Pleasant Prairie,,Wisconsin,,,
111,Nike Factory Store - Cypress,,Texas ,,,
112,Nike Clearance Store - Tempe,,Arizona,,,
113,Nike Factory Store - Lawrenceville,,Georgia,,,
114,Nike Factory Store - Concord,,North Carolina,,,
115,Nike Fashion Valley,,California ,,,
116,Nike Factory Store - Kildeer,,Illinois,,,
117,Nike Factory Store - Tilton,,New Hampshire,,,
118,Nike Clearance Store - Ocean City,,Maryland,,,
119,Nike Factory Store - Chandler,,Arizona,,,
120,Nike Factory Store - Columbus,,Ohio,,,
121,Nike Factory Store - Eagan,,Minnesota,,,
122,Nike Factory Store - Mercedes,,Texas ,,,
123,Nike Factory Store - Queenstown,,Maryland,,,
124,Hurley Factory Store - Allen Premium Outlets,,Texas ,,,
125,Nike Factory Store - Atlantic City,,New Jersey,,,
126,Nike Factory Store - Jackson,,New Jersey,,,
127,Nike Clearance Store - Florida City,,Florida ,,,
128,Nike Clearance Store - Gurnee,,Illinois,,,
129,Nike Factory Store - Tyler,,Texas ,,,
130,Nike Factory Store - Fort Myers,,Florida ,,,
131,Nike Factory Store - Barstow,,California ,,,
132,Nike Factory Store - Cincinnati,,Ohio,,,
133,Nike Factory Store - Tannersville,,Pennsylvania,,,
134,Nike Factory Store - Locust Grove,,Georgia,,,
135,Nike Factory Store - Canutillo,,Texas ,,,
136,"Nike Factory Store - Williamsburg, IA",,Iowa,,,
137,Nike Clearance Store - Woodbridge,,Virginia,,,
138,Nike Community Store - Brooklyn,,New York ,,,
139,Nike Factory Store - Bellevue,,Washington,,,
140,Nike Factory Store - Lee,,Massachusetts,,,
141,Nike Factory Store - Sawgrass Mills,,Florida ,,,
142,Nike NYC,,New York ,,,
143,Nike Factory Store - Staten Island,,New York ,,,
144,Nike Chicago,,Illinois,,,
145,Nike Factory Store - Pismo Beach,,California ,,,
146,Hurley Factory Store - Round Rock Premium Outlets,,Texas ,,,
147,Nike Georgetown,,DC,,,
148,Nike Factory Store - Lakewood,,Colorado,,,
149,Hurley San Clemente - Outlets at San Clemente,,California ,,,
150,Hurley Clearance Store - Kissimmee,,Florida ,,,
151,Nike Factory Store - Pembroke Pines,,Florida ,,,
152,Nike Factory Store - Calhoun,,Georgia,,,
153,Nike Factory Store - Woodburn,,Oregon,,,
154,Nike Community Store - South Chicago,,Illinois,,,
155,Nike Factory Store - Oceanside,,New York ,,,
156,Hurley Factory Store - Desert Hills Premium Outlets,,California ,,,
157,Nike Factory Store - Smithfield,,North Carolina,,,
158,Nike Factory Store - Henderson,,Nevada,,,
159,Nike Factory Store - Gonzales,,Louisiana,,,
160,Hurley Factory Store - Tampa Premium Outlets,,Florida ,,,
161,Nike Factory Store - Destin,,Florida ,,,
162,Nike Factory Store - Tulalip,,Washington,,,
163,Nike Clearance Store - Medford,,Minnesota,,,
164,Hurley Factory Store - Palm Beach Outlets,,Florida ,,,
165,Nike Factory Store - Tuscaloosa,,Alabama,,,
166,Nike Factory Store - Ellenton,,Florida ,,,
167,Nike Factory Store - Panama City Beach,,Florida ,,,
168,Nike Clearance Store - Centralia,,Washington,,,
169,Nike Factory Store - Gainesville,,Florida ,,,
170,Nike Factory Store - Tejon Ranch,,California ,,,
171,Nike Eugene,,Oregon,,,
172,Hurley Factory Store - Camarillo Premium Outlets,,California ,,,
173,Nike Kansas City,,Missouri,,,
174,Nike Factory Store - Paramus,,New Jersey,,,
175,Nike Factory Store - Spokane,,Washington,,,
176,Nike Factory Store - West Palm Beach,,Florida ,,,
177,Nike Factory Store - Atlanta Woodstock,,Georgia,,,
178,Nike Factory Store - Foxwoods,,Connecticut,,,
179,Nike Factory Store - Branson,,Missouri,,,
180,Nike Factory Store - Gulfport,,Mississippi,,,
181,Nike Factory Store - Daytona Beach,,Florida ,,,
182,Nike Factory Store - Celebration,,Florida ,,,
183,Nike Factory Store - Estero,,Florida ,,,
184,Nike Factory Store - Miami,,Florida ,,,
185,Nike Seattle,,Washington,,,
186,Nike Factory Store - Downtown Philadelphia,,Pennsylvania,,,
187,Nike Factory Store - Sevierville,,Tennessee,,,
188,Nike The Grove,,California ,,,
189,Nike Clearance Store - Pigeon Forge,,Tennessee,,,
190,Nike Factory Store - Citadel,,California ,,,
191,Nike Factory Store - Orange,,California ,,,
192,Nike Factory Store - Albertville,,Minnesota,,,
193,Nike Factory Store - Grove City,,Pennsylvania,,,
194,Nike Factory Store - Michigan City,,Indiana,,,
195,Nike Factory Store - Wisconsin Dells,,Wisconsin,,,
196,Nike Factory Store - Napa,,California ,,,
197,Hurley | Nike SB,,California ,,,
198,Nike Factory Store - Folsom,,California ,,,
199,Hurley Factory Store - Houston Premium Outlets,,Texas ,,,
200,Nike Factory Store - Gloucester,,New Jersey,,,
201,Nike Factory Store - Omaha,,Nebraska,,,
202,Nike Factory Store - Katy Mills,,Texas ,,,
203,Nike Factory Store - San Marcos,,Texas ,,,
204,Nike Clearance Store - San Leandro,,California ,,,
205,Nike Santa Monica,,California ,,,
206,Nike Community Store - New Orleans,,Louisiana,,,
207,Nike Factory Store - St Augustine,,Florida ,,,
208,Nike Dallas North Park,,Texas ,,,
209,Hurley Factory Store - Citadel Outlets,,California ,,,
210,Hurley Clearance Store - Arizona Mills,,Arizona,,,
211,Nike Clearance Store - Laredo,,Texas ,,,
212,Nike Factory Store - Somerville,,Massachusetts,,,
213,Nike Factory Store - Philadelphia,,Pennsylvania,,,
214,Nike Factory Store - Phoenix,,Arizona,,,
215,Nike Factory Store - Gaffney,,South Carolina,,,
216,Nike Factory Store - Auburn,,Washington,,,
217,Nike Factory Store - Kittery,,Maine,,,
218,Nike Factory Store - Southaven,,Mississippi,,,
219,Nike Boston,,Massachusetts,,,
220,Nike San Francisco,,California ,,,
221,Nike Factory Store - Las Vegas North,,Nevada,,,
222,"Nike Factory Store - Williamsburg, VA",,Virginia,,,
223,Nike Las Vegas,,Nevada,,,
224,Nike Factory Store - Oklahoma City,,Oklahoma,,,
225,Hurley Factory Store - Las Vegas Premium Outlets North,,Nevada,,,
226,Nike Factory Store - North Conway,,New Hampshire,,,
227,Nike Factory Store - Mebane,,North Carolina,,,
228,Nike Factory Store - Bluffton,,South Carolina,,,
229,Nike Factory Store - Las Vegas South,,Nevada,,,
230,Nike Factory Store - Allen,,Texas ,,,
231,Nike Factory Store - Pittsburgh,,Pennsylvania,,,
232,Nike Factory Store - Dorchester,,Massachusetts,,,
233,Nike Factory Store - Castle Rock,,Colorado,,,
234,Nike Factory Store - San Ysidro,,California ,,,
235,Nike Clearance Store - Kissimmee,,Florida ,,,
236,Nike Factory Store - Marana,,Arizona,,,
237,Nike Factory Store - Nashville,,Tennessee,,,
238,Hurley Factory Store - Las Americas Premium Outlets,,California ,,,
239,Nike Factory Store - Farmington,,Utah,,,
240,Nike Factory Store - Merrimack,,New Hampshire,,,
241,Nike Factory Store - Long Beach,,California ,,,
242,Nike Factory Store - Norfolk,,Virginia,,,
243,Nike Factory Store - Oak Brook,,Illinois,,,
244,Nike Factory Store - Barceloneta,,PR,,,
245,Hurley Factory Store - Orlando Premium Outlets Vineland,,Florida ,,,
246,Nike Factory Store - Hagerstown,,Maryland,,,
247,Hurley Factory Store -Tanger Outlet Center - San Marcos,,Texas ,,,
248,Nike Factory Store - Hanover,,Maryland,,,
249,Nike Factory Store - Tulare,,California ,,,
250,Hurley Factory Store - Orlando Premium Outlets International Drive,,Florida ,,,
251,Nike Westlake,,California ,,,
252,Nike Factory Store - Howell,,Michigan,,,
253,Nike Factory Store - Rehoboth,,Delaware,,,
254,Nike Factory Store - Winter Garden,,Florida ,,,
255,Nike Clearance Store - Flushing Queens,,New York ,,,
256,Nike Factory Store - National Harbor,,Maryland,,,
257,Nike Factory Store - Seaside,,Oregon,,,
258,Nike Factory Store - Rosemont,,Illinois,,,
259,Nike Miami,,Florida ,,,
260,Hurley Factory Store - San Francisco Premium Outlets,,California ,,,
261,Nike Portland,,Oregon,,,
262,Hurley Factory Store - The Outlets at Orange,,California ,,,
263,Nike by Long Beach,,California ,,,
264,Nike Factory Store - Vero Beach,,Florida ,,,
265,Nike Factory Store - Grand Rapids,,Michigan,,,
266,Nike Factory Store - Camarillo,,California ,,,
267,Nike Factory Store - Loveland,,Colorado,,,
268,Nike Factory Store - West Jordan,,Utah,,,
269,Nike Factory Store - Grand Prairie,,Texas ,,,
270,Nike Factory Store - Terrell,,Texas ,,,
271,Nike Soho,,New York ,,,
272,Nike Factory Store - Riverhead,,New York ,,,
273,Nike Factory Store - Bend,,Oregon,,,
